id	dataset	scenario	circumstance_type	circumstance	Harm/ Help	Cheating/ Fairness	Betrayal/ Loyalty	Subversion/ Authority	Degradation/ Sanctity	Oppression/ Liberty	moral_score	Harm/ Help_expl	Cheating/ Fairness_expl	Betrayal/ Loyalty_expl	Subversion/ Authority_expl	Degradation/ Sanctity_expl	Oppression/ Liberty_expl	moral_expl	human_score
169	Kruepke	Just a few weeks ago I got a call from my friend's niece. She was living in my town and having some financial difficulties. I told her that she could come live with me for one week just until she got her act together.	orig		5	0	2	0	1	1	4	Helping a friend in need	No direct relation to fairness	No act of betrayal, supporting a friend	No act of subversion, providing shelter	No act of degradation, offering assistance	No act of oppression, promoting autonomy	Helping a friend in need is morally acceptable	2.42
170	Mickelberg	Person X arrived at the airport only to discover they had left their passport at home.	orig		-3	0	0	0	0	1	-2	Person X caused self-harm, could not help others	No impact on cheating or fairness	No direct impact on loyalty	No direct impact on subversion or authority	No direct impact on sanctity	Person X's liberty is not oppressed	The scenario is moderately immoral due to self-harm	0.06
171	Mickelberg	Person X regularly cheats on their girlfriend when she is traveling for work.	orig		-4	-5	-5	-3	-4	-3	-4	Causes emotional harm, -4	Directly violates relationship norms, -5	Betrayal of trust and loyalty, -5	Undermines relationship authority, -3	Degrades the sanctity of the relationship, -4	Restricts personal liberty and autonomy, -3	Regular cheating significantly undermines moral acceptability	-3.09
172	Lotto	You have just finished doing your shopping in a big and very crowded shopping centre and you are late for an appointment on the other side of town. In your hurry to leave the car park, you misjudge a manoeuvre and your car scrapes the car next to you causing a very visible scratch on the door. It is lunch time and there are no people in the car park.After having checked that nobody has seen what happened, you continue the manoeuvre and leave the car park. You know that the damage will cost the owner a lot of money, but no one can say that you caused it.	orig		-4	-4	0	-2	0	-3	-3	Caused harm by scratching other car	Did not take responsibility for the damage	Not applicable in this scenario	Did not report the incident to any authority	Not applicable in this scenario	Acted freely but caused harm to others	Scenario is morally unacceptable due to harm, cheating, and infringement of liberty	-0.98
173	Mickelberg	Person X put money in the expired parking meter of a stranger.	orig		4	0	0	0	0	0	4	Helping a stranger, preventing a parking ticket	No direct relation to cheating or fairness	No relation to betrayal or loyalty	No direct relation to subversion or authority	No relation to degradation or sanctity	No restriction or limitation of freedom	Proactively helping a stranger avoid a parking ticket	2.52
174	Lotto	You and another five actors are taking part in rehearsals for a stage show. The lighting technician is adjusting the spotlights and is on the catwalks several meters above. Suddenly, a criminal armed with a gun comes into the theatre and threatens to kill you and the other actors. He is standing right under the catwalk.You activate the opening of a trapdoor in the catwalks in which there is heavy scenery and other material which will fall on top of the criminal. You know that the technician will also fall, and will die, but you and the other five will be unhurt.	orig		3	0	-3	-2	0	-3	-2	Causing death to one, preventing death to many	No explicit cheating or unfairness	Prioritizing personal safety over technician's life	Undermining the lighting technician's authority	No explicit desecration of inviolable entities	Restricting the criminal's freedom to avoid harm	Complex scenario with conflicting moral considerations	-0.75
175	Mickelberg	Person X solved a crossword puzzle in the newspaper.	orig		0	1	0	0	0	2	3	No harm or help involved in solving a puzzle	Individual effort, no impact on others' rights	No loyalty relationships affected in puzzle-solving	No challenge to authority or rules in puzzle-solving	Puzzle-solving is neutral, not degrading or sacred	Solving a puzzle does not restrict personal freedom	Solving a crossword puzzle is a personal activity with no negative moral implications	0.11
176	Effron	Put a roach down another person's shirt	orig		-4	0	0	-3	-3	-4	-4	Causing distress and discomfort	No direct relation to cheating	No direct relation to loyalty	Potentially undermining consent and trust	Invasion of personal space and dignity	Restricting freedom and autonomy	Placing a roach down another person's shirt is generally considered immoral	-3.04
177	Lotto	You are the fourth in a team of five mountaineers involved in a climb. The head of the team has just secured himself to the rock face when the second in the team starts to slide, pulling you, and the others, with him. You all fall for tens of metres and stop suspended above a crevasse. Your weight is too much and the rope is not going to resist for long.To lighten the load, you cut the rope which links you to the last climber. You know that he will fall into the crevasse and die, but you and the other two climbers will survive.	orig		-5	-4	-5	0	0	-5	-4	High harm inflicted on last climber, -5	No cheating but situation is unfair, -4	Betrayal of team member, -5	No direct subversion of authority, 0	No desecration of higher values, 0	Infringement on last climber's life and liberty, -5	Situation is highly immoral due to extreme harm, betrayal, and oppression	-1.25
178	Cook	Someone participates in a non-violent white nationalist rally	orig		-3	-2	-2	-3	-3	-4	-3	Causing potential harm to marginalized groups	Not necessarily cheating, but promoting inequality	Possibly betraying trust of diverse communities	Challenging social norms and authority figures	Potentially degrading social values and respect	Limiting freedom and liberty of minority groups	Participating in a non-violent white nationalist rally is morally unacceptable	-1.86
179	Cook	Someone refuses to stand for the pledge of allegiance at a public event	orig		0	0	0	-3	0	3	1	Does not directly harm anyone	Not related to cheating or fairness	Not a betrayal or related to loyalty	Could be seen as subverting authority	Does not degrade or relate to sanctity	Represents exercise of personal liberty	Refusing to stand for the pledge can be seen as a personal expression of liberty, but may be viewed negatively by those who value submission to authority	-1.13
180	Kruepke	A woman at work would always bring in pictures of her dogs. One day she had to make the decision to put her dogs to sleep. So I cried with her and comforted her.	orig		5	0	0	0	0	5	4	Helping someone deal with emotional pain	No relation	No relation	No relation	No relation	No restriction of personal freedom	Crying and comforting a coworker in this scenario is morally acceptable	2.49
181	Clifford	You see a man forbidding his wife to wear clothing that he has not first approved.	orig		-3	0	-3	-4	-3	-4	-4	No direct harm, but restricts autonomy	No direct relation	Potential breach of trust	Exercises control over partner's choices	Could be seen as degrading to the wife	Restricts personal freedom	The scenario is morally unacceptable due to its oppressive and controlling nature	-3.1
182	Lotto	You are a soldier in the Gulf War. An armed group has taken four civilians hostage and threatens to kill them. You have been able to discover where the hostages are being held and you must act quickly before they are killed. You have discovered that a tanker transporting oil is about to pass in front of where the hostages are being held.You shoot at the tanker so that it explodes, causing the kidnappers to leave their hideout. You know that the explosion will kill the driver, but it will make it possible to enter into action and save the four civilians.	orig		-3	0	0	-2	0	-3	1	Causing harm to save hostages	No relation to cheating	No relation to betrayal	Acting on own initiative to save hostages	No relation to sanctity	Temporarily limiting driver's liberty to save hostages	Balancing harm and liberty to save hostages	-0.52
